"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 03 14:14:50 IST 2024","Wed Jan 03 14:14:50 IST 2024","822","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Wed Jan 03 14:14:52 IST 2024","Wed Jan 03 14:14:53 IST 2024","583","","Cypress.dom","","","",".isHidden() - determine if a DOM element is hidden",""
"passed","Wed Jan 03 14:14:38 IST 2024","Wed Jan 03 14:14:39 IST 2024","619","","Actions","","","",".rightclick() - right click on a DOM element",""
"passed","Wed Jan 03 14:16:39 IST 2024","Wed Jan 03 14:16:40 IST 2024","779","","Traversal","","","",".not() - remove DOM elements from set of DOM elements",""
"passed","Wed Jan 03 14:15:16 IST 2024","Wed Jan 03 14:15:18 IST 2024","2133","","Network Requests","","","","cy.request() - pass result to the second request",""
"passed","Wed Jan 03 14:15:15 IST 2024","Wed Jan 03 14:15:15 IST 2024","650","","Location","","","","cy.url() - get the current URL",""
"passed","Wed Jan 03 14:14:42 IST 2024","Wed Jan 03 14:14:46 IST 2024","4059","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Wed Jan 03 14:16:09 IST 2024","Wed Jan 03 14:16:10 IST 2024","781","","Local Storage / Session Storage","","","","cy.getAllSessionStorage() - get all data in sessionStorage for all origins",""
"passed","Wed Jan 03 14:16:33 IST 2024","Wed Jan 03 14:16:34 IST 2024","777","","Traversal","","","",".eq() - get a DOM element at a specific index",""
"passed","Wed Jan 03 14:15:13 IST 2024","Wed Jan 03 14:15:15 IST 2024","1529","","Network Requests","","","","cy.request() - verify response using BDD syntax",""
"passed","Wed Jan 03 14:16:34 IST 2024","Wed Jan 03 14:16:35 IST 2024","755","","Traversal","","","",".filter() - get DOM elements that match the selector",""
"passed","Wed Jan 03 14:14:43 IST 2024","Wed Jan 03 14:14:44 IST 2024","895","","Actions","","","",".scrollIntoView() - scroll an element into view",""
"passed","Wed Jan 03 14:14:51 IST 2024","Wed Jan 03 14:14:52 IST 2024","842","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Wed Jan 03 14:16:54 IST 2024","Wed Jan 03 14:16:55 IST 2024","1443","","Utilities","","","","Cypress.Promise - instantiate a bluebird promise",""
"passed","Wed Jan 03 14:14:33 IST 2024","Wed Jan 03 14:14:37 IST 2024","4345","","Actions","","","",".click() - click on a DOM element",""
"passed","Wed Jan 03 14:14:53 IST 2024","Wed Jan 03 14:14:55 IST 2024","2128","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Wed Jan 03 14:14:46 IST 2024","Wed Jan 03 14:14:48 IST 2024","1437","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Wed Jan 03 14:15:38 IST 2024","Wed Jan 03 14:15:39 IST 2024","675","","Misc","","","","cy.wrap() - wrap an object",""
"passed","Wed Jan 03 14:15:18 IST 2024","Wed Jan 03 14:15:21 IST 2024","2253","","Network Requests","","","","cy.request() - save response in the shared test context",""
"passed","Wed Jan 03 14:16:40 IST 2024","Wed Jan 03 14:16:41 IST 2024","951","","Traversal","","","",".parent() - get parent DOM element from DOM elements",""
"passed","Wed Jan 03 14:14:54 IST 2024","Wed Jan 03 14:14:55 IST 2024","741","","Cypress.version","","","","Get current version of Cypress being run",""
"passed","Wed Jan 03 14:16:22 IST 2024","Wed Jan 03 14:16:26 IST 2024","3665","","Spies, Stubs, and Clock","","","","cy.spy() - wrap a method in a spy",""
"passed","Wed Jan 03 14:14:45 IST 2024","Wed Jan 03 14:14:50 IST 2024","4906","","Cypress.Commands","","","",".add() - create a custom command",""
"passed","Wed Jan 03 14:14:53 IST 2024","Wed Jan 03 14:14:54 IST 2024","528","","Cypress.log","","","","Control what is printed to the Command Log",""
"failed","Wed Jan 03 14:15:35 IST 2024","Wed Jan 03 14:15:37 IST 2024","1765","","Misc","","","","cy.exec() - execute a system command",""
"passed","Wed Jan 03 14:16:43 IST 2024","Wed Jan 03 14:16:43 IST 2024","391","","Traversal","","","",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Wed Jan 03 14:15:15 IST 2024","Wed Jan 03 14:15:16 IST 2024","1413","","Network Requests","","","","cy.request() with query parameters",""
"passed","Wed Jan 03 14:16:52 IST 2024","Wed Jan 03 14:16:53 IST 2024","1181","","Utilities","","","","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Wed Jan 03 14:15:43 IST 2024","Wed Jan 03 14:15:43 IST 2024","599","","Querying","","","","cy.contains() - query DOM elements with matching content",""
"passed","Wed Jan 03 14:15:44 IST 2024","Wed Jan 03 14:15:45 IST 2024","788","","Querying","","","","cy.root() - query the root DOM element",""
"passed","Wed Jan 03 14:15:21 IST 2024","Wed Jan 03 14:15:22 IST 2024","1155","Connectors",".then()","","","","yields the value yielded by the last Cypress command inside",""
"passed","Wed Jan 03 14:15:07 IST 2024","Wed Jan 03 14:15:14 IST 2024","7040","","Location","","","","cy.hash() - get the current URL hash",""
"passed","Wed Jan 03 14:16:26 IST 2024","Wed Jan 03 14:16:28 IST 2024","2628","","Spies, Stubs, and Clock","","","","cy.spy() retries until assertions pass",""
"passed","Wed Jan 03 14:14:51 IST 2024","Wed Jan 03 14:14:51 IST 2024","541","","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","","","","","Viewport","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Wed Jan 03 14:16:37 IST 2024","Wed Jan 03 14:16:37 IST 2024","617","","Traversal","","","",".last() - get last DOM element",""
"passed","Wed Jan 03 14:14:44 IST 2024","Wed Jan 03 14:14:46 IST 2024","1655","","Actions","","","",".trigger() - trigger an event on a DOM element",""
"passed","Wed Jan 03 14:15:35 IST 2024","Wed Jan 03 14:15:38 IST 2024","3530","","Files","","","","cy.fixture() - load a fixture",""
"passed","Wed Jan 03 14:14:20 IST 2024","Wed Jan 03 14:14:29 IST 2024","9423","","Cookies","","","","cy.getCookie() - get a browser cookie",""
"passed","Wed Jan 03 14:15:20 IST 2024","Wed Jan 03 14:15:21 IST 2024","499","Connectors",".then()","","","","yields the returned value to the next command",""
"passed","Wed Jan 03 14:14:42 IST 2024","Wed Jan 03 14:14:43 IST 2024","1547","","Actions","","","",".select() - select an option in a <select> element",""
"passed","Wed Jan 03 14:14:26 IST 2024","Wed Jan 03 14:14:29 IST 2024","3259","","Aliasing","","","",".as() - alias a route for later use",""
"passed","Wed Jan 03 14:17:03 IST 2024","Wed Jan 03 14:17:09 IST 2024","5728","","Window","","","","cy.window() - get the global window object",""
"passed","Wed Jan 03 14:15:20 IST 2024","Wed Jan 03 14:15:20 IST 2024","635","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Wed Jan 03 14:14:54 IST 2024","Wed Jan 03 14:14:54 IST 2024","491","","Cypress.platform","","","","Get underlying OS name",""
"passed","Wed Jan 03 14:17:09 IST 2024","Wed Jan 03 14:17:09 IST 2024","290","","Window","","","","cy.title() - get the title",""
"passed","Wed Jan 03 14:16:38 IST 2024","Wed Jan 03 14:16:39 IST 2024","519","","Traversal","","","",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Wed Jan 03 14:16:23 IST 2024","Wed Jan 03 14:16:34 IST 2024","11098","","Waiting","","","","cy.wait() - wait for a specific amount of time",""
"passed","Wed Jan 03 14:16:30 IST 2024","Wed Jan 03 14:16:31 IST 2024","1389","","Spies, Stubs, and Clock","","","","cy.tick() - move time in the browser",""
"passed","Wed Jan 03 14:15:37 IST 2024","Wed Jan 03 14:15:38 IST 2024","970","","Misc","","","","cy.focused() - get the DOM element that has focus",""
"passed","Wed Jan 03 14:15:40 IST 2024","Wed Jan 03 14:15:43 IST 2024","2927","","Files","","","","cy.writeFile() - write to a file",""
"passed","Wed Jan 03 14:16:32 IST 2024","Wed Jan 03 14:16:33 IST 2024","1166","","Traversal","","","",".closest() - get closest ancestor DOM element",""
"passed","Wed Jan 03 14:14:30 IST 2024","Wed Jan 03 14:14:31 IST 2024","1225","","Actions","","","",".clear() - clears an input or textarea element",""
"passed","Wed Jan 03 14:16:05 IST 2024","Wed Jan 03 14:16:08 IST 2024","3174","","Navigation","","","","cy.reload() - reload the page",""
"passed","Wed Jan 03 14:16:08 IST 2024","Wed Jan 03 14:16:09 IST 2024","659","","Local Storage / Session Storage","","","","cy.clearAllLocalStorage() - clear all data in localStorage for all origins",""
"passed","Wed Jan 03 14:14:27 IST 2024","Wed Jan 03 14:14:29 IST 2024","1139","","Actions","","","",".focus() - focus on a DOM element",""
"passed","Wed Jan 03 14:17:09 IST 2024","Wed Jan 03 14:17:09 IST 2024","313","","Window","","","","cy.document() - get the document object",""
"passed","Wed Jan 03 14:16:35 IST 2024","Wed Jan 03 14:16:36 IST 2024","732","","Traversal","","","",".find() - get descendant DOM elements of the selector",""
"passed","Wed Jan 03 14:14:40 IST 2024","Wed Jan 03 14:14:42 IST 2024","1516","","Actions","","","",".uncheck() - uncheck a checkbox element",""
"passed","Wed Jan 03 14:15:39 IST 2024","Wed Jan 03 14:15:40 IST 2024","476","","Files","","","","cy.readFile() - read file contents",""
"passed","Wed Jan 03 14:15:36 IST 2024","Wed Jan 03 14:15:43 IST 2024","6221","","Querying","","","","cy.get() - query DOM elements",""
"passed","Wed Jan 03 14:15:18 IST 2024","Wed Jan 03 14:15:18 IST 2024","859","","Connectors","","","",".its() - get properties on the current subject",""
"passed","Wed Jan 03 14:16:37 IST 2024","Wed Jan 03 14:16:38 IST 2024","592","","Traversal","","","",".next() - get next sibling DOM element",""
"passed","Wed Jan 03 14:14:55 IST 2024","Wed Jan 03 14:14:55 IST 2024","469","","Cypress.spec","","","","Get current spec information",""
"passed","Wed Jan 03 14:15:08 IST 2024","Wed Jan 03 14:15:13 IST 2024","5233","","Network Requests","","","","cy.request() - make an XHR request",""
"passed","Wed Jan 03 14:14:50 IST 2024","Wed Jan 03 14:14:51 IST 2024","1177","","Cypress.Cookies","","","",".debug() - enable or disable debugging",""
"passed","Wed Jan 03 14:14:31 IST 2024","Wed Jan 03 14:14:32 IST 2024","644","","Cookies","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Wed Jan 03 14:14:37 IST 2024","Wed Jan 03 14:14:38 IST 2024","925","","Actions","","","",".dblclick() - double click on a DOM element",""
"passed","Wed Jan 03 14:14:29 IST 2024","Wed Jan 03 14:14:30 IST 2024","1524","","Actions","","","",".blur() - blur off a DOM element",""
"passed","Wed Jan 03 14:16:31 IST 2024","Wed Jan 03 14:16:31 IST 2024","123","","Spies, Stubs, and Clock","","","","cy.stub() matches depending on arguments",""
"passed","Wed Jan 03 14:16:34 IST 2024","Wed Jan 03 14:16:37 IST 2024","2422","","Waiting","","","","cy.wait() - wait for a specific route",""
"passed","Wed Jan 03 14:15:43 IST 2024","Wed Jan 03 14:15:44 IST 2024","745","","Querying","","","",".within() - query DOM elements within a specific element",""
"passed","Wed Jan 03 14:16:38 IST 2024","Wed Jan 03 14:16:38 IST 2024","510","","Traversal","","","",".nextAll() - get all next sibling DOM elements",""
"passed","Wed Jan 03 14:16:53 IST 2024","Wed Jan 03 14:16:54 IST 2024","441","","Utilities","","","","Cypress.minimatch - test out glob patterns against strings",""
"passed","Wed Jan 03 14:16:51 IST 2024","Wed Jan 03 14:16:52 IST 2024","714","","Utilities","","","","Cypress.$ - call a jQuery method",""
"passed","Wed Jan 03 14:15:56 IST 2024","Wed Jan 03 14:16:07 IST 2024","11684","","Local Storage / Session Storage","","","","cy.clearLocalStorage() - clear all data in localStorage for the current origin",""
"passed","Wed Jan 03 14:15:28 IST 2024","Wed Jan 03 14:15:35 IST 2024","7027","","Misc","","","",".end() - end the command chain",""
"passed","Wed Jan 03 14:15:55 IST 2024","Wed Jan 03 14:16:04 IST 2024","9904","","Navigation","","","","cy.go() - go back or forward in the browser's history",""
"passed","Wed Jan 03 14:14:19 IST 2024","Wed Jan 03 14:14:27 IST 2024","8762","","Actions","","","",".type() - type into a DOM element",""
"passed","Wed Jan 03 14:16:41 IST 2024","Wed Jan 03 14:16:42 IST 2024","607","","Traversal","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Wed Jan 03 14:16:43 IST 2024","Wed Jan 03 14:16:44 IST 2024","827","","Traversal","","","",".siblings() - get all sibling DOM elements",""
"passed","Wed Jan 03 14:14:30 IST 2024","Wed Jan 03 14:14:31 IST 2024","529","","Cookies","","","","cy.setCookie() - set a browser cookie",""
"passed","Wed Jan 03 14:16:07 IST 2024","Wed Jan 03 14:16:08 IST 2024","898","","Local Storage / Session Storage","","","","cy.getAllLocalStorage() - get all data in localStorage for all origins",""
"passed","Wed Jan 03 14:15:39 IST 2024","Wed Jan 03 14:15:42 IST 2024","2761","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Wed Jan 03 14:16:31 IST 2024","Wed Jan 03 14:16:31 IST 2024","129","","Spies, Stubs, and Clock","","","","matches call arguments using Sinon matchers",""
"passed","Wed Jan 03 14:14:29 IST 2024","Wed Jan 03 14:14:30 IST 2024","851","","Cookies","","","","cy.getCookies() - get browser cookies",""
"passed","Wed Jan 03 14:14:31 IST 2024","Wed Jan 03 14:14:33 IST 2024","1414","","Actions","","","",".submit() - submit a form",""
"passed","Wed Jan 03 14:15:45 IST 2024","Wed Jan 03 14:15:47 IST 2024","1901","","Querying","","","","best practices - selecting elements",""
"passed","Wed Jan 03 14:16:29 IST 2024","Wed Jan 03 14:16:30 IST 2024","649","","Spies, Stubs, and Clock","","","","cy.clock() - control time in the browser",""
"passed","Wed Jan 03 14:16:10 IST 2024","Wed Jan 03 14:16:10 IST 2024","691","","Local Storage / Session Storage","","","","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins",""
"passed","Wed Jan 03 14:15:21 IST 2024","Wed Jan 03 14:15:21 IST 2024","561","Connectors",".then()","","","","yields the original subject without return",""
"passed","Wed Jan 03 14:15:19 IST 2024","Wed Jan 03 14:15:20 IST 2024","589","","Connectors","","","",".spread() - spread an array as individual args to callback function",""
"passed","Wed Jan 03 14:16:43 IST 2024","Wed Jan 03 14:16:51 IST 2024","7978","","Utilities","","","","Cypress._ - call a lodash method",""
"passed","Wed Jan 03 14:14:53 IST 2024","Wed Jan 03 14:14:53 IST 2024","442","","Cypress.env()","","","","Get environment variables",""
"passed","Wed Jan 03 14:14:48 IST 2024","Wed Jan 03 14:14:49 IST 2024","1251","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
